,mmsi,basedatetime,lat,lon,sog,cog,heading,vesselname,imo,callsign,vesseltype,vesselstatus,vessellength,vesselwidth,draft,cargo,geom,id,geometry,distance
17833,368206000,2016-01-13 15:28:50,44.69858,-124.18178,8.4,-55.8,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E610000048C49448A20B5FC0E1D1C6116B594640,9078781,POINT (406370.5229973249 4950146.574768469),11939.45818354939
18040,368206000,2016-01-13 15:45:29,44.73905,-124.18738,9.1,-57.1,511.0,MISS SARAH,IMO8942034,WDD9129,1001,undefined,28.68,8.23,,30,0101000020E61000002BFBAE08FE0B5FC0ED0DBE30995E4640,9087692,POINT (405992.409897252 4954648.520478151),14676.80036847483
20658,366207630,2016-01-13 21:41:28,44.66961,-124.15069,8.4,-79.2,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E61000006475ABE7A4095FC08B89CDC7B5554640,9219559,POINT (408788.2571910713 4946893.275209046),12790.150361796455
20798,366207630,2016-01-13 21:55:59,44.69937,-124.17223,8.5,-75.1,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000F758FAD0050B5FC0DAE6C6F484594640,9228426,POINT (407128.4099484081 4950223.395173691),12616.528392379521
20919,366207630,2016-01-13 21:58:48,44.70541,-124.17587,8.4,-68.1,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E61000003E963E74410B5FC0BC22F8DF4A5A4640,9237257,POINT (406849.7124107056 4950898.486308501),12761.495622358789
20922,366207630,2016-01-13 22:12:19,44.73509,-124.19295,8.4,-77.5,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000D8F0F44A590C5FC0EECEDA6D175E4640,9237410,POINT (405544.9721557119 4954215.082715116),14056.74045233205
20957,366207630,2016-01-13 22:07:18,44.7241,-124.18651,8.4,-72.0,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E61000002098A3C7EF0B5FC04D840D4FAF5C4640,9239256,POINT (406037.0830458198 4952986.834924145),13488.395349967814
20958,366207630,2016-01-13 22:11:09,44.73252,-124.19128,8.6,-73.7,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000401878EE3D0C5FC03DD52137C35D4640,9239338,POINT (405673.0208975006 4953927.6643532),13923.07825553472
20967,366207630,2016-01-13 22:01:07,44.71045,-124.17851,8.5,-71.8,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000930035B56C0B5FC0BBB88D06F05A4640,9239964,POINT (406648.6783056812 4951461.362190259),12937.404532295965
20993,366207630,2016-01-13 21:57:07,44.70184,-124.17395,8.6,-76.9,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000E9482EFF210B5FC02783A3E4D5594640,9241371,POINT (406996.095133583 4950499.729857635),12655.793720733398
21004,366207630,2016-01-13 22:15:59,44.74285,-124.19823,8.5,-74.8,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E610000082C5E1CCAF0C5FC0B3EA73B5155F4640,9241948,POINT (405139.6039919941 4955083.223653729),14483.339731030537
21220,366207630,2016-01-13 22:18:27,44.74778,-124.2017,7.7,-79.9,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E61000009BE61DA7E80C5FC02B4D4A41B75F4640,9253037,POINT (404872.9805184174 4955634.911431378),14775.19775725724
21277,366207630,2016-01-13 22:19:28,44.7497,-124.20332,8.0,-82.7,511.0,MISS SUE,IMO8693994,WDJ5663,1001,undefined,21.82,8.2,,30,0101000020E6100000DBA7E331030D5FC0D5E76A2BF65F4640,9256185,POINT (404747.8943789791 4955850.085199729),14882.555452313622
